x,sin(x),Taylor_1,Error_1,Taylor_3,Error_3,Taylor_5,Error_5,Taylor_7,Error_7,Taylor_9,Error_9
-8.859429714857429,-0.5357099080662823,-8.859429714857429,8.323719806791146,107.03593081473683,107.57164072280311,-347.79248448696245,347.25677457889617,502.1897195770726,502.7254294851389,-424.40297275069537,423.8672628426291
-8.849424712356178,-0.5441312000956182,-8.849424712356178,8.30529351226056,106.65373526885021,107.19786646894583,-345.61227295030193,345.06814175020634,497.6734255855558,498.21755678565137,-419.5440406512694,418.99990945117383
-8.839419709854928,-0.5524980250053366,-8.839419709854928,8.286921684849592,106.27242555104148,106.82492357604681,-343.44273746793556,342.89023944293024,493.1917274975559,493.74422552256124,-414.7349259876826,414.18242796267725
-8.829414707353678,-0.5608095452826226,-8.829414707353678,8.268605162071054,105.89200065980909,106.45281020509171,-341.28383987072345,340.72303032544085,488.74440814208947,489.3052176873721,-409.97518013980755,409.41437059452494
-8.819409704852426,-0.5690649289506139,-8.819409704852426,8.250344775901812,105.51245959365147,106.08152452260208,-339.1355420780967,338.56647714914607,484.33125141302673,484.9003163419774,-405.26435792884024,404.6952929998896
-8.809404702351175,-0.5772633496516764,-8.809404702351175,8.232141352699498,105.13380135106729,105.71106470071896,-336.99780609795874,336.42054274830707,479.95204226528216,480.52930561493383,-400.60201759566866,400.024754246017
-8.799399699849925,-0.5854039867301295,-8.799399699849925,8.213995713119795,104.75602493055497,105.3414289172851,-334.8705940265822,334.28519003985207,475.6065667110069,476.191970697737,-395.9877207793423,395.40231679261217
-8.789394697348675,-0.5934860253143883,-8.789394697348675,8.195908672034285,104.37912933061298,104.97261535592737,-332.7538680485105,332.1603820231961,471.29461181579677,471.8880978411112,-391.4210324956556,390.8275464703412
-8.779389694847424,-0.6015086563985323,-8.779389694847424,8.177881038448891,104.00311354973984,104.60462220613837,-330.64759043645773,330.0460817800592,467.01596569490863,467.6174743513072,-386.9015211158331,386.3000124594345
-8.769384692346174,-0.6094710769232871,-8.769384692346174,8.159913615422887,103.62797658643406,104.23744766335734,-328.5517235512076,327.9422524742843,462.77041750948104,463.3798885864043,-382.4287583453181,381.8192872683948
